"Package","Author","Title","URL","tags","bg_color"
"r-raster-vector-geospatial",NA,"Data Carpentry: Introduction to Geospatial Raster and Vector Data with R","https://github.com/datacarpentry/r-raster-vector-geospatial","R","#198CE7"
"data-packages",NA,"The State Of Data On CRAN: Discovering Good Data Packages","https://github.com/ropenscilabs/data-packages","HTML","#e34c26"
"nhdR",NA,"R interface to the National Hydrography Dataset :droplet:","https://github.com/jsta/nhdR","R","#198CE7"
"dbhydroR",NA,"R interface to the South Florida Water Management District's DBHYDRO Database :sweat_drops::palm_tree:","https://github.com/ropensci/dbhydroR","R","#198CE7"
"gshhg",NA,"A Global Self-consistent, Hierarchical, High-resolution Geography Database","https://github.com/jsta/gshhg","R","#198CE7"
"LAGOSNE",NA,"Interface to the LAke multi-scaled GeOSpatial & temporal database :earth_americas:","https://github.com/cont-limno/LAGOSNE","R","#198CE7"
"wikilake",NA,"Scrape lake metadata tables from Wikipedia 🏞","https://github.com/jsta/wikilake","R","#198CE7"
"ipdw",NA,"Interpolation by Inverse Path Distance Weighting :leftwards_arrow_with_hook: 🌊","https://github.com/jsta/ipdw","R","#198CE7"
"glwdr",NA,"R client for the Global Lakes and Wetlands Database","https://github.com/jsta/glwdr","R","#198CE7"
"dams",NA,"R interface to the United States National Inventory of Dams :us::wrench::droplet:","https://github.com/jsta/dams","R","#198CE7"
"externalrdata",NA,"Template for R packages that fetch, cache, and serve data from external sources","https://github.com/jsta/externalrdata","R","#198CE7"
"streamnet",NA,"Morphology analysis of stream networks 🍃","https://github.com/jsta/streamnet","R","#198CE7"
"cond2sal_shiny",NA,"Shiny app to convert conductivity to salinity","https://github.com/jsta/cond2sal_shiny","R","#198CE7"
"limnology_models_data",NA,"Models and datasets for Limnology","https://github.com/jsta/limnology_models_data",NA,NA
"nml",NA,"An R package for parsing Fortran namelist files :tophat:","https://github.com/jsta/nml","R","#198CE7"
"limnopapers",NA,"Twitter feed of newly published articles in limnology","https://github.com/jsta/limnopapers","Python","#3572A5"
"gssurgo",NA,"Python package enabling an open source gSSURGO workflow","https://github.com/jsta/gssurgo","Python","#3572A5"
"nlaR",NA,"R interface to the National Lakes Assessment","https://github.com/jsta/nlaR","R","#198CE7"
"NES",NA,"The National Eutrophication Survey: lake characteristics and historical nutrient concentrations","https://github.com/ReproducibleQM/NES","TeX","#3D6117"
"SpectralClustering4Regions",NA,"Creating multi-themed ecological regions for macroscale ecology: testing a flexible, repeatable, and accessible clustering method","https://github.com/cont-limno/SpectralClustering4Regions","R","#198CE7"
"nesRdata",NA,"R package to fetch, cache, and serve the National Eutrophication Survey","https://github.com/jsta/nesRdata","R","#198CE7"
"nsws",NA,"National Surface Water Survey Package","https://github.com/jsta/nsws","R","#198CE7"
