"Package","Author","Title","URL","tags","bg_color"
"cdlTools","Jonathan Lisic [cre],
  Lu Chen [aut],
  Joseph Stachelek [ctb]","Tools to Download and Work with USDA Cropscape Data",NA,"R","#198CE7"
"dams","Gopi Goteti [aut],
  Joseph Stachelek [aut, cre]","Dams in the United States from the National Inventory of Dams
(NID)","https://github.com/jsta/dams","R","#198CE7"
"dbhydroR","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","'DBHYDRO' Hydrologic and Water Quality Data","https://github.com/ropensci/dbhydroR","R","#198CE7"
"ipdw","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Spatial Interpolation by Inverse Path Distance Weighting","https://www.github.com/jsta/ipdw","R","#198CE7"
"LAGOSNE","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>),
  Samantha Oliver [aut] (<https://orcid.org/0000-0001-5668-1165>),
  Farzan Masrour [aut]","Interface to the Lake Multi-Scaled Geospatial and Temporal
Database","https://github.com/cont-limno/LAGOSNE","R","#198CE7"
"lakemorpho","Jeffrey W. Hollister [aut, cre],
  Joseph Stachelek [ctb]","Lake Morphometry Metrics","http://www.github.com/jhollist/lakemorpho","R","#198CE7"
"nesRdata","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","National Eutrophication Survey Data","https://github.com/jsta/nesRdata","R","#198CE7"
"nhdR","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Tools for working with the National Hydrography Dataset","https://github.com/jsta/nhdR","R","#198CE7"
"nlaR","Joseph Stachelek [aut, cre]","Interface to the National Lakes Assessment","https://github.com/jsta/nlaR","R","#198CE7"
"rnoaa","Scott Chamberlain [aut, cre],
  Brooke Anderson [ctb],
  Maëlle Salmon [ctb],
  Adam Erickson [ctb],
  Nicholas Potter [ctb],
  Joseph Stachelek [ctb],
  Alex Simmons [ctb],
  Karthik Ram [ctb],
  Hart Edmund [ctb]","'NOAA' Weather Data from R","https://github.com/ropensci/rnoaa","R","#198CE7"
"rv","Jouni Kerman [aut],
  Joseph Stachelek [ctb, cre]","Simulation-Based Random Variable Objects","https://github.com/jsta/rv","R","#198CE7"
"wikilake","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Scrape Lake Metadata Tables from Wikipedia","https://github.com/jsta/wikilake","R","#198CE7"
"wql","Alan Jassby [aut],
  James Cloern [ctb],
  Joseph Stachelek [ctb, cre]","Exploring Water Quality Monitoring Data","https://github.com/jsta/wql","R","#198CE7"
"r-raster-vector-geospatial",NA,"Data Carpentry: Introduction to Geospatial Raster and Vector Data with R","https://github.com/datacarpentry/r-raster-vector-geospatial","R","#198CE7"
"data-packages",NA,"The State Of Data On CRAN: Discovering Good Data Packages","https://github.com/ropenscilabs/data-packages","HTML","#e34c26"
"sfpolymorph",NA,"Calculate polygon shape metrics","https://github.com/jsta/sfpolymorph","R","#198CE7"
"gshhg",NA,"A Global Self-consistent, Hierarchical, High-resolution Geography Database","https://github.com/jsta/gshhg","R","#198CE7"
"glwdr",NA,"R client for the Global Lakes and Wetlands Database","https://github.com/jsta/glwdr","R","#198CE7"
"externalrdata",NA,"Template for R packages that fetch, cache, and serve data from external sources","https://github.com/jsta/externalrdata","R","#198CE7"
"streamnet",NA,"Morphology analysis of stream networks 🍃","https://github.com/jsta/streamnet","R","#198CE7"
"cond2sal_shiny",NA,"Shiny app to convert conductivity to salinity","https://github.com/jsta/cond2sal_shiny","R","#198CE7"
"limnology_models_data",NA,"Models and datasets for Limnology","https://github.com/jsta/limnology_models_data",NA,NA
"nml",NA,"An R package for parsing Fortran namelist files :tophat:","https://github.com/jsta/nml","R","#198CE7"
"sparrow",NA,"SPAtially Referenced Regression on Watershed attributes","https://github.com/jsta/sparrow","R","#198CE7"
"limnopapers",NA,"Twitter feed of newly published articles in limnology","https://github.com/jsta/limnopapers","Python","#3572A5"
"gssurgo",NA,"Python package enabling an open source gSSURGO workflow","https://github.com/jsta/gssurgo","Python","#3572A5"
"NES",NA,"The National Eutrophication Survey: lake characteristics and historical nutrient concentrations","https://github.com/ReproducibleQM/NES","TeX","#3D6117"
"SpectralClustering4Regions",NA,"Creating multi-themed ecological regions for macroscale ecology: testing a flexible, repeatable, and accessible clustering method","https://github.com/cont-limno/SpectralClustering4Regions","R","#198CE7"
"nsws",NA,"National Surface Water Survey Package","https://github.com/jsta/nsws","R","#198CE7"
"mapview.addin",NA,"RStudio addin for viewing Spatial objects","https://github.com/jsta/mapview.addin","R","#198CE7"
"dciR",NA,"Calculate Directional Connectivity Index without Matlab","https://github.com/jsta/dciR","MATLAB","#e16737"
"jsta",NA,"Personal function library","https://github.com/jsta/jsta","R","#198CE7"
"irlgraph",NA,"Irregular Landscape Graphs to generate accumulated cost surfaces","https://github.com/jsta/irlgraph","R","#198CE7"
"ReScience-submission",NA,"ReScience submission repository","https://github.com/jsta/ReScience-submission","TeX","#3D6117"
"imagemagick_cheatsheet",NA,"Cheatsheet for the command line image editing program Imagemagick","https://github.com/jsta/imagemagick_cheatsheet","TeX","#3D6117"
"schemeR",NA,"Visualize SQLite structure with R :neckbeard:","https://github.com/jsta/schemeR","R","#198CE7"
"nesR",NA,"Scrape Data from the National Eutrophication Survey","https://github.com/jsta/nesR","R","#198CE7"
"lakemorpho_manuscript",NA,"repository containing manuscript describing the lakemorpho R package","https://github.com/jhollist/lakemorpho_manuscript","TeX","#3D6117"
"dataflowchl",NA,"Improved estimation of phytoplankton abundance and fine-scale water quality features via simultaneous discrete and semi-continuous surveys","https://github.com/jsta/dataflowchl","TeX","#3D6117"
"samples-rmarkdown-metropolis",NA,"RMarkdown with Metropolis/Mtheme for Beamer","https://github.com/jsta/samples-rmarkdown-metropolis","TeX","#3D6117"
"DataflowR",NA,"Data handling and interpolation for underway water quality monitoring :speedboat: :dash: :sweat_drops::","https://github.com/jsta/DataflowR","R","#198CE7"
"beamer-lake-fig",NA,"Collection of lake diagrams for use in LaTeX documents :page_with_curl:","https://github.com/jsta/beamer-lake-fig","TeX","#3D6117"
"speCluster",NA,"Spectral Clustering in R","https://github.com/cont-limno/speCluster","R","#198CE7"
"riverdist",NA,"River Network Distance Computation and Applications","https://github.com/jsta/riverdist","HTML","#e34c26"
"LAGOSNEgis",NA,"Extra functions to interact with the GIS module of LAGOSNE","https://github.com/jsta/LAGOSNEgis","R","#198CE7"
"peatcollapse_methods",NA,"In-situ simulation of sea-level rise impacts on coastal wetlands using a flow-through mesocosm approach","https://github.com/jsta/peatcollapse_methods","TeX","#3D6117"
"wikiprojectlakes",NA,"Create a Wikipedia Lake Page","https://github.com/GLEON/wikiprojectlakes",NA,NA
"openbugs",NA,"Source code mirror for openbugs","https://github.com/jsta/openbugs","Roff","#ecdebe"
"fabm",NA,"The Framework for Aquatic Biogeochemical Models (FABM): a Fortran 2003 programming framework for biogeochemical models of marine and freshwater systems.","https://github.com/jsta/fabm","Fortran","#4d41b1"
"swatr",NA,"A multi-OS implementation of the TAMU SWAT model","https://github.com/jsta/swatr","Fortran","#4d41b1"
"nes_connectivity_p",NA,"Does Freshwater Connectivity Influence Phosphorus Retention in Lakes?","https://github.com/jsta/nes_connectivity_p","R","#198CE7"
"MANAGE",NA,"Measured Annual Nutrient loads from AGricultural Environments","https://github.com/jsta/MANAGE","R","#198CE7"
"aslo_tweets",NA," analyzing tweets about ASLO 2018","https://github.com/jsta/aslo_tweets",NA,NA
"paper_template",NA,"Minimal Makefile-driven paper template ","https://github.com/jsta/paper_template","Makefile","#427819"
