"Package","Author","Title","URL"
"cdlTools","Jonathan Lisic [cre],
  Lu Chen [aut],
  Joseph Stachelek [ctb]","Tools to Download and Work with USDA Cropscape Data",NA
"dams","Gopi Goteti [aut],
  Joseph Stachelek [aut, cre]","Dams in the United States from the National Inventory of Dams
(NID)","https://github.com/jsta/dams"
"dbhydroR","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","'DBHYDRO' Hydrologic and Water Quality Data","https://github.com/ropensci/dbhydroR"
"ipdw","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Spatial Interpolation by Inverse Path Distance Weighting","https://www.github.com/jsta/ipdw"
"LAGOSNE","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>),
  Samantha Oliver [aut] (<https://orcid.org/0000-0001-5668-1165>),
  Farzan Masrour [aut]","Interface to the Lake Multi-Scaled Geospatial and Temporal
Database","https://github.com/cont-limno/LAGOSNE"
"lakemorpho","Jeffrey W. Hollister [aut, cre],
  Joseph Stachelek [ctb]","Lake Morphometry Metrics","http://www.github.com/jhollist/lakemorpho"
"nesRdata","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","National Eutrophication Survey Data","https://github.com/jsta/nesRdata"
"nhdR","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Tools for working with the National Hydrography Dataset","https://github.com/jsta/nhdR"
"nlaR","Joseph Stachelek [aut, cre]","Interface to the National Lakes Assessment","https://github.com/jsta/nlaR"
"rnoaa","Scott Chamberlain [aut, cre],
  Brooke Anderson [ctb],
  Maëlle Salmon [ctb],
  Adam Erickson [ctb],
  Nicholas Potter [ctb],
  Joseph Stachelek [ctb],
  Alex Simmons [ctb],
  Karthik Ram [ctb],
  Hart Edmund [ctb]","'NOAA' Weather Data from R","https://github.com/ropensci/rnoaa"
"rv","Jouni Kerman [aut],
  Joseph Stachelek [ctb, cre]","Simulation-Based Random Variable Objects","https://github.com/jsta/rv"
"wikilake","Joseph Stachelek [aut, cre] (<https://orcid.org/0000-0002-5924-2464>)","Scrape Lake Metadata Tables from Wikipedia","https://github.com/jsta/wikilake"
"wql","Alan Jassby [aut],
  James Cloern [ctb],
  Joseph Stachelek [ctb, cre]","Exploring Water Quality Monitoring Data","https://github.com/jsta/wql"
"r-raster-vector-geospatial",NA,"Data Carpentry: Introduction to Geospatial Raster and Vector Data with R","https://github.com/datacarpentry/r-raster-vector-geospatial"
"data-packages",NA,"The State Of Data On CRAN: Discovering Good Data Packages","https://github.com/ropenscilabs/data-packages"
"sfpolymorph",NA,"Calculate polygon shape metrics","https://github.com/jsta/sfpolymorph"
"gshhg",NA,"A Global Self-consistent, Hierarchical, High-resolution Geography Database","https://github.com/jsta/gshhg"
"glwdr",NA,"R client for the Global Lakes and Wetlands Database","https://github.com/jsta/glwdr"
"externalrdata",NA,"Template for R packages that fetch, cache, and serve data from external sources","https://github.com/jsta/externalrdata"
"streamnet",NA,"Morphology analysis of stream networks 🍃","https://github.com/jsta/streamnet"
"cond2sal_shiny",NA,"Shiny app to convert conductivity to salinity","https://github.com/jsta/cond2sal_shiny"
"limnology_models_data",NA,"Models and datasets for Limnology","https://github.com/jsta/limnology_models_data"
"nml",NA,"An R package for parsing Fortran namelist files :tophat:","https://github.com/jsta/nml"
"sparrow",NA,"SPAtially Referenced Regression on Watershed attributes","https://github.com/jsta/sparrow"
"limnopapers",NA,"Twitter feed of newly published articles in limnology","https://github.com/jsta/limnopapers"
"gssurgo",NA,"Python package enabling an open source gSSURGO workflow","https://github.com/jsta/gssurgo"
"NES",NA,"The National Eutrophication Survey: lake characteristics and historical nutrient concentrations","https://github.com/ReproducibleQM/NES"
"SpectralClustering4Regions",NA,"Creating multi-themed ecological regions for macroscale ecology: testing a flexible, repeatable, and accessible clustering method","https://github.com/cont-limno/SpectralClustering4Regions"
"nsws",NA,"National Surface Water Survey Package","https://github.com/jsta/nsws"
"mapview.addin",NA,"RStudio addin for viewing Spatial objects","https://github.com/jsta/mapview.addin"
"dciR",NA,"Calculate Directional Connectivity Index without Matlab","https://github.com/jsta/dciR"
"jsta",NA,"Personal function library","https://github.com/jsta/jsta"
"irlgraph",NA,"Irregular Landscape Graphs to generate accumulated cost surfaces","https://github.com/jsta/irlgraph"
"imagemagick_cheatsheet",NA,"Cheatsheet for the command line image editing program Imagemagick","https://github.com/jsta/imagemagick_cheatsheet"
