"name","url","img","bg_color","tile_tooltip","tags"
"nhdR","https://github.com/jsta/nhdR","logos/nhdR.svg","#198CE7","R interface to the National Hydrography Dataset ","rstats"
"dbhydroR","https://github.com/ropensci/dbhydroR","logos/dbhydroR.svg","#198CE7","R interface to the South Florida Water Management District's DBHYDRO Database :sweat_...","rstats"
"gshhg","https://github.com/jsta/gshhg","logos/gshhg.svg","#198CE7","A Global Self-consistent, Hierarchical, High-resolution Geography Database","rstats"
"LAGOSNE","https://github.com/cont-limno/LAGOSNE","logos/LAGOSNE.svg","#198CE7","Interface to the LAke multi-scaled GeOSpatial & temporal database ","rstats"
"wikilake","https://github.com/jsta/wikilake","logos/wikilake.svg","#198CE7","Scrape lake metadata tables from Wikipedia ","rstats"
"ipdw","https://github.com/jsta/ipdw","logos/ipdw.svg","#198CE7","Interpolation by Inverse Path Distance Weighting  ","rstats"
"glwdr","https://github.com/jsta/glwdr","logos/glwdr.svg","#198CE7","R client for the Global Lakes and Wetlands Database","rstats"
"dams","https://github.com/jsta/dams","logos/dams.svg","#198CE7","R interface to the United States National Inventory of Dams ","rstats"
"externalrdata","https://github.com/jsta/externalrdata","logos/externalrdata.svg","#198CE7","Template for R packages that fetch, cache, and serve data from external sources","rstats"
"streamnet","https://github.com/jsta/streamnet","logos/streamnet.svg","#198CE7","Morphology analysis of stream networks ","rstats"
"cond2sal_shiny","https://github.com/jsta/cond2sal_shiny","logos/cond2sal_shiny.svg","#198CE7","Shiny app to convert conductivity to salinity","rstats"
"nml","https://github.com/jsta/nml","logos/nml.svg","#198CE7","An R package for parsing Fortran namelist files ","rstats"
"limnopapers","https://github.com/jsta/limnopapers","logos/limnopapers.svg","#3572A5","Twitter feed of newly published articles in limnology","python"
"gssurgo","https://github.com/jsta/gssurgo","logos/gssurgo.svg","#3572A5","Python package enabling an open source gSSURGO workflow","python"
"nlaR","https://github.com/jsta/nlaR","logos/nlaR.svg","#198CE7","R interface to the National Lakes Assessment","rstats"
"NES","https://github.com/ReproducibleQM/NES","logos/NES.svg","#3D6117","The National Eutrophication Survey: lake characteristics and historical nutrient conc...","tex"
"SpectralClustering4Regions","https://github.com/cont-limno/SpectralClustering4Regions","logos/SpectralClustering4Regions.svg","#198CE7","Creating multi-themed ecological regions for macroscale ecology: testing a flexible, ...","rstats"
"nesRdata","https://github.com/jsta/nesRdata","logos/nesRdata.svg","#198CE7","R package to fetch, cache, and serve the National Eutrophication Survey","rstats"
"nsws","https://github.com/jsta/nsws","logos/nsws.svg","#198CE7","National Surface Water Survey Package","rstats"
"mapview.addin","https://github.com/jsta/mapview.addin","logos/mapview.addin.svg","#198CE7","RStudio addin for viewing Spatial objects","rstats"
"dciR","https://github.com/jsta/dciR","logos/dciR.svg","#e16737","Calculate Directional Connectivity Index without Matlab","matlab"
"irlgraph","https://github.com/jsta/irlgraph","logos/irlgraph.svg","#198CE7","Irregular Landscape Graphs to generate accumulated cost surfaces","rstats"
